ID	MeanDecreaseAccuracy	MeanDecreaseGini
PWY-1269	0.000114408	0.187104742
PWY-7013	0.000110269	0.135702016
BIOTIN-BIOSYNTHESIS-PWY	0.000109868	0.052696451
ANAEROFRUCAT-PWY	0.00010831	0.067804398
PWY-6126	0.000107062	0.085086113
GLYCOL-GLYOXDEG-PWY	0.000103756	0.021480279
TRPSYN-PWY	0.00010304	0.110102817
PWY-4041	0.000102102	0.086528808
PWY0-1415	0.000101875	0.086630176
PWY-6282	0.000101459	0.035243571
PWY-6285	9.81E-05	0.143410608
PWY-6703	9.53E-05	0.093365849
PWY-6151	9.27E-05	0.145708797
ORNARGDEG-PWY	9.20E-05	0.015445971
PWY-5855	9.05E-05	0.129047812
PWY-7228	9.00E-05	0.091702797
FASYN-INITIAL-PWY	8.97E-05	0.060252238
PWY-6690	8.60E-05	0.02785685
PWYG-321	8.49E-05	0.020698854
PWY-7446	8.46E-05	0.12571289
NAGLIPASYN-PWY	8.38E-05	0.131987054
PWY-5154	8.38E-05	0.086310691
PWY-5188	7.90E-05	0.110399222
PWY-6270	7.81E-05	0.359654916
PWY-5845	7.81E-05	0.12838571
GLYOXYLATE-BYPASS	7.41E-05	0.049772527
P441-PWY	7.26E-05	0.114251439
THISYN-PWY	7.06E-05	0.053898419
P461-PWY	6.97E-05	0.206205169
ENTBACSYN-PWY	6.86E-05	0.02549017
PWY-6121	6.30E-05	0.093125116
PWY-6803	6.26E-05	0.005913043
PWY-5097	5.96E-05	0.093036351
PWY-2942	5.53E-05	0.041300158
P23-PWY	5.18E-05	0.336726986
GLUCOSE1PMETAB-PWY	4.92E-05	0.059499834
GLUCARGALACTSUPER-PWY	4.90E-05	0.105760874
PWY-5100	4.73E-05	0.256644748
PWY-5850	4.67E-05	0.107401213
PWY-5838	4.24E-05	0.052034021
PWY-6277	4.24E-05	0.103990297
PWY-5484	4.11E-05	0.131963595
GLYCOLYSIS	3.89E-05	0.158155779
PWY-5973	3.59E-05	0.054231506
PWY-5862	3.30E-05	0.084442894
GLYCOLYSIS-TCA-GLYOX-BYPASS	3.08E-05	0.082450259
PWY-6590	2.86E-05	0.092295883
PWY-5138	2.69E-05	0.068347886
PWY-5918	2.38E-05	0.101435105
SER-GLYSYN-PWY	2.32E-05	0.194036577
PWY-5863	2.06E-05	0.071551418
PWY0-1241	2.04E-05	0.035800751
SALVADEHYPOX-PWY	1.91E-05	0.077309199
FASYN-ELONG-PWY	1.86E-05	0.042801442
PWY-6595	1.75E-05	0.215752097
PWY4FS-8	1.67E-05	0.196576777
ARGININE-SYN4-PWY	1.58E-05	0.08258992
PWY-5989	1.43E-05	0.143967569
PWY-7328	1.41E-05	0.208033652
PWY-6700	1.32E-05	0.145839034
GLUCUROCAT-PWY	1.25E-05	0.163364945
COBALSYN-PWY	1.24E-05	0.127062658
POLYISOPRENSYN-PWY	1.19E-05	0.072826394
PWY-5860	1.14E-05	0.119984568
PWY-7388	1.03E-05	0.040140827
PWY-6545	9.19E-06	0.120630821
ARGORNPROST-PWY	4.20E-06	0.170722369
PWY-5920	2.44E-06	0.054420721
SULFATE-CYS-PWY	1.33E-06	0.055137018
PWY-5083	6.86E-07	0.057253857
PWY-3841	-2.14E-07	0.054568691
